;ano;turno;tipo_eleicao;sigla_uf;id_municipio;id_municipio_tse;cargo;sigla_partido;numero_candidato;sequencial_candidato;id_candidato_bd;resultado;votos;total_votos;%votos;dif_votos
142;2020;1;eleicao ordinaria;SP;3503356;62065;prefeito;PSDB;45;250000640558;656620;nao eleito;864;1998;0.43243;0.13514000000000004
143;2020;1;eleicao ordinaria;SP;3503356;62065;prefeito;PV;43;250000634790;1148902;eleito;1134;1998;0.56757;0.13514000000000004
144;2020;1;eleicao ordinaria;SP;3503406;61670;prefeito;MDB;15;250000963737;1124641;nao eleito;1591;4327;0.36769;0.25145
145;2020;1;eleicao ordinaria;SP;3503406;61670;prefeito;PSDB;45;250000635865;1793257;eleito;2679;4327;0.61914;0.25145
146;2020;1;eleicao ordinaria;SP;3503406;61670;prefeito;REPUBLICANOS;10;250001254062;1098545;nao eleito;57;4327;0.01317;0.25145
147;2020;1;eleicao ordinaria;SP;3503505;61697;prefeito;AVANTE;70;250001026627;897419;nao eleito;105;2565;0.04094;0.028849999999999987
148;2020;1;eleicao ordinaria;SP;3503505;61697;prefeito;MDB;15;250000997003;1372017;eleito;1199;2565;0.46745;0.028849999999999987
149;2020;1;eleicao ordinaria;SP;3503505;61697;prefeito;PSDB;45;250000893645;831907;nao eleito;1125;2565;0.4386;0.028849999999999987
150;2020;1;eleicao ordinaria;SP;3503505;61697;prefeito;PTB;14;250001026268;736725;nao eleito;136;2565;0.05302;0.028849999999999987
151;2020;1;eleicao ordinaria;SP;3503604;61719;prefeito;CIDADANIA;23;250000780722;1432665;nao eleito;2646;6361;0.41597;0.16806000000000004
152;2020;1;eleicao ordinaria;SP;3503604;61719;prefeito;PL;22;250001014646;1433144;eleito;3715;6361;0.58403;0.16806000000000004
153;2020;1;eleicao ordinaria;SP;3503703;61735;prefeito;PODE;19;250000875597;1756823;nao eleito;550;5486;0.10026;0.03026000000000001
154;2020;1;eleicao ordinaria;SP;3503703;61735;prefeito;PSDB;45;250001212187;1381572;nao eleito;2302;5486;0.41961;0.03026000000000001
155;2020;1;eleicao ordinaria;SP;3503703;61735;prefeito;PSL;17;250000872810;587394;nao eleito;166;5486;0.03026;0.03026000000000001
156;2020;1;eleicao ordinaria;SP;3503703;61735;prefeito;PTB;14;250001212959;;eleito;2468;5486;0.44987;0.03026000000000001
157;2020;1;eleicao ordinaria;SP;3503802;61751;prefeito;DEM;25;250001133025;1437846;nao eleito;2699;27486;0.0982;0.17493
158;2020;1;eleicao ordinaria;SP;3503802;61751;prefeito;PODE;19;250001045415;1558110;nao eleito;740;27486;0.02692;0.17493
159;2020;1;eleicao ordinaria;SP;3503802;61751;prefeito;PRTB;28;250001137552;1058199;nao eleito;998;27486;0.03631;0.17493
160;2020;1;eleicao ordinaria;SP;3503802;61751;prefeito;PSB;40;250000641107;1712494;nao eleito;6186;27486;0.22506;0.17493
161;2020;1;eleicao ordinaria;SP;3503802;61751;prefeito;PSD;55;250000799682;127026;eleito;10994;27486;0.39999;0.17493
162;2020;1;eleicao ordinaria;SP;3503802;61751;prefeito;PSL;17;250001172017;745697;nao eleito;2477;27486;0.09012;0.17493
163;2020;1;eleicao ordinaria;SP;3503802;61751;prefeito;PT;13;250001040486;3643;nao eleito;654;27486;0.02379;0.17493
164;2020;1;eleicao ordinaria;SP;3503802;61751;prefeito;PTB;14;250001041165;1678730;nao eleito;2738;27486;0.09961;0.17493
165;2020;1;eleicao ordinaria;SP;3503901;61778;prefeito;PL;22;250001130034;1207887;nao eleito;8229;42127;0.19534;0.2585
166;2020;1;eleicao ordinaria;SP;3503901;61778;prefeito;PP;11;250000806829;1671165;nao eleito;4288;42127;0.10179;0.2585
167;2020;1;eleicao ordinaria;SP;3503901;61778;prefeito;PROS;90;250000806796;1147712;nao eleito;3814;42127;0.09054;0.2585
168;2020;1;eleicao ordinaria;SP;3503901;61778;prefeito;PSB;40;250001058234;1474640;nao eleito;789;42127;0.01873;0.2585
169;2020;1;eleicao ordinaria;SP;3503901;61778;prefeito;PSD;55;250000879924;1074194;eleito;19119;42127;0.45384;0.2585
170;2020;1;eleicao ordinaria;SP;3503901;61778;prefeito;PSOL;50;250001240012;397191;nao eleito;347;42127;0.00824;0.2585
171;2020;1;eleicao ordinaria;SP;3503901;61778;prefeito;PT;13;250000787766;1586249;nao eleito;3841;42127;0.09118;0.2585
172;2020;1;eleicao ordinaria;SP;3503901;61778;prefeito;PTB;14;250001148058;1701807;nao eleito;1700;42127;0.04035;0.2585
173;2020;1;eleicao ordinaria;SP;3503950;61522;prefeito;MDB;15;250001017930;1382148;nao eleito;660;1648;0.40049;0.19901999999999997
174;2020;1;eleicao ordinaria;SP;3503950;61522;prefeito;PSDB;45;250001269964;377042;eleito;988;1648;0.59951;0.19901999999999997
175;2020;1;eleicao ordinaria;SP;3504008;61794;prefeito;DEM;25;250001153550;1273317;nao eleito;1667;45434;0.03669;0.22613000000000005
176;2020;1;eleicao ordinaria;SP;3504008;61794;prefeito;PATRIOTA;51;250001075352;114619;nao eleito;1073;45434;0.02362;0.22613000000000005
177;2020;1;eleicao ordinaria;SP;3504008;61794;prefeito;PDT;12;250001119780;1112276;eleito;25811;45434;0.5681;0.22613000000000005
178;2020;1;eleicao ordinaria;SP;3504008;61794;prefeito;PSD;55;250000682246;929226;nao eleito;15537;45434;0.34197;0.22613000000000005
179;2020;1;eleicao ordinaria;SP;3504008;61794;prefeito;PSOL;50;250001152583;1603722;nao eleito;1346;45434;0.02963;0.22613000000000005
180;2020;1;eleicao ordinaria;SP;3504107;61816;prefeito;PDT;12;250000646073;1607245;nao eleito;838;71042;0.0118;0.20293999999999998
181;2020;1;eleicao ordinaria;SP;3504107;61816;prefeito;PODE;19;250000874191;1761470;nao eleito;13729;71042;0.19325;0.20293999999999998
182;2020;1;eleicao ordinaria;SP;3504107;61816;prefeito;PRTB;28;250000829751;1643402;nao eleito;2154;71042;0.03032;0.20293999999999998
183;2020;1;eleicao ordinaria;SP;3504107;61816;prefeito;PSD;55;250000688649;1253788;eleito;30725;71042;0.43249;0.20293999999999998
184;2020;1;eleicao ordinaria;SP;3504107;61816;prefeito;PSDB;45;250000718925;1741785;nao eleito;4017;71042;0.05654;0.20293999999999998
185;2020;1;eleicao ordinaria;SP;3504107;61816;prefeito;PSOL;50;250001088124;1359168;nao eleito;789;71042;0.01111;0.20293999999999998
186;2020;1;eleicao ordinaria;SP;3504107;61816;prefeito;PTC;36;250001169070;1284594;nao eleito;2482;71042;0.03494;0.20293999999999998
187;2020;1;eleicao ordinaria;SP;3504107;61816;prefeito;REDE;18;250000828812;1755593;nao eleito;16308;71042;0.22955;0.20293999999999998
188;2020;1;eleicao ordinaria;SP;3504206;61832;prefeito;MDB;15;250001050673;1169396;eleito;4364;8472;0.51511;0.047219999999999984
