;ano;turno;tipo_eleicao;sigla_uf;id_municipio;id_municipio_tse;cargo;sigla_partido;numero_candidato;sequencial_candidato;id_candidato_bd;resultado;votos;total_votos;%votos;dif_votos;Aderencia;Governismo;RDD
554;2020;1;eleicao ordinaria;SP;3533304;67679;prefeito;PTB;14;250001181689;1517989;eleito;1239;2294;0.5401;0.08718000000000004;90;1;1
555;2020;1;eleicao ordinaria;SP;3547650;62200;prefeito;PSDB;45;250000964574;1267731;nao eleito;682;1530;0.44575;0.10850000000000004;92;0;1
556;2020;1;eleicao ordinaria;SP;3547650;62200;prefeito;PSD;55;250000811320;6865;eleito;848;1530;0.55425;0.10850000000000004;90;1;1
557;2020;1;eleicao ordinaria;SP;3513207;63657;prefeito;PSDB;45;250001058188;1159437;nao eleito;2416;5448;0.44347;0.11306;92;0;1
558;2020;1;eleicao ordinaria;SP;3513207;63657;prefeito;PSD;55;250001217078;1593543;eleito;3032;5448;0.55653;0.11306;90;1;1
559;2020;1;eleicao ordinaria;SP;3501202;61239;prefeito;PSDB;45;250001099423;1185103;nao eleito;1338;3032;0.44129;0.07124000000000003;92;0;1
560;2020;1;eleicao ordinaria;SP;3501202;61239;prefeito;DEM;25;250001094111;1096795;eleito;1554;3032;0.51253;0.07124000000000003;93;1;1
561;2020;1;eleicao ordinaria;SP;3532843;61425;prefeito;PSDB;45;250001263062;1517878;eleito;743;1685;0.44095;0.06647000000000003;92;0;1
562;2020;1;eleicao ordinaria;SP;3532843;61425;prefeito;MDB;15;250001168924;1681777;nao eleito;631;1685;0.37448;0.06647000000000003;91;1;1
563;2020;1;eleicao ordinaria;SP;3521150;62243;prefeito;PSDB;45;250000825851;1123457;nao eleito;1460;3318;0.44002;0.11996000000000001;92;0;1
